"Type of Crop","Year","Statistic Label","UNIT","VALUE"
"Total wheat, oats and barley","1985","Area under Crops","000 Hectares","386.2"
"Total wheat, oats and barley","1985","Crop Yield per Hectare","Tonnes","5.1"
"Total wheat, oats and barley","1985","Crop Yield","000 Tonnes","1986"
"Total wheat, oats and barley","1986","Area under Crops","000 Hectares","362.6"
"Total wheat, oats and barley","1986","Crop Yield per Hectare","Tonnes","5.2"
"Total wheat, oats and barley","1986","Crop Yield","000 Tonnes","1880"
"Total wheat, oats and barley","1987","Area under Crops","000 Hectares","334.3"
"Total wheat, oats and barley","1987","Crop Yield per Hectare","Tonnes","6"
"Total wheat, oats and barley","1987","Crop Yield","000 Tonnes","2005"
"Total wheat, oats and barley","1988","Area under Crops","000 Hectares","323.6"
"Total wheat, oats and barley","1988","Crop Yield per Hectare","Tonnes","6.4"
"Total wheat, oats and barley","1988","Crop Yield","000 Tonnes","2077"
"Total wheat, oats and barley","1989","Area under Crops","000 Hectares","319.6"
"Total wheat, oats and barley","1989","Crop Yield per Hectare","Tonnes","6"
"Total wheat, oats and barley","1989","Crop Yield","000 Tonnes","1918"
"Total wheat, oats and barley","1990","Area under Crops","000 Hectares","298.5"
"Total wheat, oats and barley","1990","Crop Yield per Hectare","Tonnes","6.6"
"Total wheat, oats and barley","1990","Crop Yield","000 Tonnes","1964"
"Total wheat, oats and barley","1991","Area under Crops","000 Hectares","299.6"
"Total wheat, oats and barley","1991","Crop Yield per Hectare","Tonnes","6.6"
"Total wheat, oats and barley","1991","Crop Yield","000 Tonnes","1965"
"Total wheat, oats and barley","1992","Area under Crops","000 Hectares","295.1"
"Total wheat, oats and barley","1992","Crop Yield per Hectare","Tonnes","6.8"
"Total wheat, oats and barley","1992","Crop Yield","000 Tonnes","2018"
"Total wheat, oats and barley","1993","Area under Crops","000 Hectares","280.3"
"Total wheat, oats and barley","1993","Crop Yield per Hectare","Tonnes","5.8"
"Total wheat, oats and barley","1993","Crop Yield","000 Tonnes","1626"
"Total wheat, oats and barley","1994","Area under Crops","000 Hectares","264.7"
"Total wheat, oats and barley","1994","Crop Yield per Hectare","Tonnes","6.1"
"Total wheat, oats and barley","1994","Crop Yield","000 Tonnes","1609"
"Total wheat, oats and barley","1995","Area under Crops","000 Hectares","269.2"
"Total wheat, oats and barley","1995","Crop Yield per Hectare","Tonnes","6.7"
"Total wheat, oats and barley","1995","Crop Yield","000 Tonnes","1796"
"Total wheat, oats and barley","1996","Area under Crops","000 Hectares","288"
"Total wheat, oats and barley","1996","Crop Yield per Hectare","Tonnes","7.4"
"Total wheat, oats and barley","1996","Crop Yield","000 Tonnes","2142"
"Total wheat, oats and barley","1997","Area under Crops","000 Hectares","304.3"
"Total wheat, oats and barley","1997","Crop Yield per Hectare","Tonnes","6.4"
"Total wheat, oats and barley","1997","Crop Yield","000 Tonnes","1943.4"
"Total wheat, oats and barley","1998","Area under Crops","000 Hectares","294"
"Total wheat, oats and barley","1998","Crop Yield per Hectare","Tonnes","6.3"
"Total wheat, oats and barley","1998","Crop Yield","000 Tonnes","1865"
"Total wheat, oats and barley","1999","Area under Crops","000 Hectares","280.3"
"Total wheat, oats and barley","1999","Crop Yield per Hectare","Tonnes","7.2"
"Total wheat, oats and barley","1999","Crop Yield","000 Tonnes","2011.3"
"Total wheat, oats and barley","2000","Area under Crops","000 Hectares","277.1"
"Total wheat, oats and barley","2000","Crop Yield per Hectare","Tonnes","7.8"
"Total wheat, oats and barley","2000","Crop Yield","000 Tonnes","2173.9"
"Total wheat, oats and barley","2001","Area under Crops","000 Hectares","283.7"
"Total wheat, oats and barley","2001","Crop Yield per Hectare","Tonnes","7.6"
"Total wheat, oats and barley","2001","Crop Yield","000 Tonnes","2165.1"
"Total wheat, oats and barley","2002","Area under Crops","000 Hectares","297.5"
"Total wheat, oats and barley","2002","Crop Yield per Hectare","Tonnes","6.6"
"Total wheat, oats and barley","2002","Crop Yield","000 Tonnes","1963.6"
"Total wheat, oats and barley","2003","Area under Crops","000 Hectares","299.9"
"Total wheat, oats and barley","2003","Crop Yield per Hectare","Tonnes","7.2"
"Total wheat, oats and barley","2003","Crop Yield","000 Tonnes","2146.9"
"Total wheat, oats and barley","2004","Area under Crops","000 Hectares","306.4"
"Total wheat, oats and barley","2004","Crop Yield per Hectare","Tonnes","8.2"
"Total wheat, oats and barley","2004","Crop Yield","000 Tonnes","2500.9"
"Total wheat, oats and barley","2005","Area under Crops","000 Hectares","276.5"
"Total wheat, oats and barley","2005","Crop Yield per Hectare","Tonnes","7"
"Total wheat, oats and barley","2005","Crop Yield","000 Tonnes","1938"
"Total wheat, oats and barley","2006","Area under Crops","000 Hectares","274.9"
"Total wheat, oats and barley","2006","Crop Yield per Hectare","Tonnes","7.6"
"Total wheat, oats and barley","2006","Crop Yield","000 Tonnes","2083.1"
"Total wheat, oats and barley","2007","Area under Crops","000 Hectares","273.1"
"Total wheat, oats and barley","2007","Crop Yield per Hectare","Tonnes","7.3"
"Total wheat, oats and barley","2007","Crop Yield","000 Tonnes","1997"
"Total wheat","1985","Area under Crops","000 Hectares","77.7"
"Total wheat","1985","Crop Yield per Hectare","Tonnes","6.4"
"Total wheat","1985","Crop Yield","000 Tonnes","495"
"Total wheat","1986","Area under Crops","000 Hectares","74.6"
"Total wheat","1986","Crop Yield per Hectare","Tonnes","5.5"
"Total wheat","1986","Crop Yield","000 Tonnes","412"
"Total wheat","1987","Area under Crops","000 Hectares","56.1"
"Total wheat","1987","Crop Yield per Hectare","Tonnes","6.9"
"Total wheat","1987","Crop Yield","000 Tonnes","387"
"Total wheat","1988","Area under Crops","000 Hectares","58.6"
"Total wheat","1988","Crop Yield per Hectare","Tonnes","7.8"
"Total wheat","1988","Crop Yield","000 Tonnes","455"
"Total wheat","1989","Area under Crops","000 Hectares","60.7"
"Total wheat","1989","Crop Yield per Hectare","Tonnes","7.6"
"Total wheat","1989","Crop Yield","000 Tonnes","459"
"Total wheat","1990","Area under Crops","000 Hectares","70.1"
"Total wheat","1990","Crop Yield per Hectare","Tonnes","8.5"
"Total wheat","1990","Crop Yield","000 Tonnes","598"
"Total wheat","1991","Area under Crops","000 Hectares","85.7"
"Total wheat","1991","Crop Yield per Hectare","Tonnes","7.9"
"Total wheat","1991","Crop Yield","000 Tonnes","673.6"
"Total wheat","1992","Area under Crops","000 Hectares","90.6"
"Total wheat","1992","Crop Yield per Hectare","Tonnes","7.9"
"Total wheat","1992","Crop Yield","000 Tonnes","714"
"Total wheat","1993","Area under Crops","000 Hectares","79.2"
"Total wheat","1993","Crop Yield per Hectare","Tonnes","6.8"
"Total wheat","1993","Crop Yield","000 Tonnes","539"
"Total wheat","1994","Area under Crops","000 Hectares","74.1"
"Total wheat","1994","Crop Yield per Hectare","Tonnes","7.7"
"Total wheat","1994","Crop Yield","000 Tonnes","572"
"Total wheat","1995","Area under Crops","000 Hectares","70.7"
"Total wheat","1995","Crop Yield per Hectare","Tonnes","8.2"
"Total wheat","1995","Crop Yield","000 Tonnes","583"
"Total wheat","1996","Area under Crops","000 Hectares","85.7"
"Total wheat","1996","Crop Yield per Hectare","Tonnes","9"
"Total wheat","1996","Crop Yield","000 Tonnes","771.2"
"Total wheat","1997","Area under Crops","000 Hectares","93.9"
"Total wheat","1997","Crop Yield per Hectare","Tonnes","7.7"
"Total wheat","1997","Crop Yield","000 Tonnes","724.5"
"Total wheat","1998","Area under Crops","000 Hectares","83.8"
"Total wheat","1998","Crop Yield per Hectare","Tonnes","8"
"Total wheat","1998","Crop Yield","000 Tonnes","673"
"Total wheat","1999","Area under Crops","000 Hectares","68.1"
"Total wheat","1999","Crop Yield per Hectare","Tonnes","8.8"
"Total wheat","1999","Crop Yield","000 Tonnes","597.4"
"Total wheat","2000","Area under Crops","000 Hectares","78"
"Total wheat","2000","Crop Yield per Hectare","Tonnes","9.5"
"Total wheat","2000","Crop Yield","000 Tonnes","737.4"
"Total wheat","2001","Area under Crops","000 Hectares","84.9"
"Total wheat","2001","Crop Yield per Hectare","Tonnes","9.1"
"Total wheat","2001","Crop Yield","000 Tonnes","769.2"
"Total wheat","2002","Area under Crops","000 Hectares","102.7"
"Total wheat","2002","Crop Yield per Hectare","Tonnes","8.4"
"Total wheat","2002","Crop Yield","000 Tonnes","867.2"
"Total wheat","2003","Area under Crops","000 Hectares","95.7"
"Total wheat","2003","Crop Yield per Hectare","Tonnes","8.3"
"Total wheat","2003","Crop Yield","000 Tonnes","794.1"
"Total wheat","2004","Area under Crops","000 Hectares","102.7"
"Total wheat","2004","Crop Yield per Hectare","Tonnes","9.9"
"Total wheat","2004","Crop Yield","000 Tonnes","1019.2"
"Total wheat","2005","Area under Crops","000 Hectares","95.2"
"Total wheat","2005","Crop Yield per Hectare","Tonnes","8.4"
"Total wheat","2005","Crop Yield","000 Tonnes","802.7"
"Total wheat","2006","Area under Crops","000 Hectares","87.5"
"Total wheat","2006","Crop Yield per Hectare","Tonnes","9.2"
"Total wheat","2006","Crop Yield","000 Tonnes","801"
"Total wheat","2007","Area under Crops","000 Hectares","84.3"
"Total wheat","2007","Crop Yield per Hectare","Tonnes","8.5"
"Total wheat","2007","Crop Yield","000 Tonnes","713.4"
"Winter wheat","1985","Area under Crops","000 Hectares","60.3"
"Winter wheat","1985","Crop Yield per Hectare","Tonnes","6.5"
"Winter wheat","1985","Crop Yield","000 Tonnes","395"
"Winter wheat","1986","Area under Crops","000 Hectares","57"
"Winter wheat","1986","Crop Yield per Hectare","Tonnes","5.6"
"Winter wheat","1986","Crop Yield","000 Tonnes","317"
"Winter wheat","1987","Area under Crops","000 Hectares","38.3"
"Winter wheat","1987","Crop Yield per Hectare","Tonnes","7.3"
"Winter wheat","1987","Crop Yield","000 Tonnes","278"
"Winter wheat","1988","Area under Crops","000 Hectares","37.2"
"Winter wheat","1988","Crop Yield per Hectare","Tonnes","8.2"
"Winter wheat","1988","Crop Yield","000 Tonnes","305"
"Winter wheat","1989","Area under Crops","000 Hectares","43"
"Winter wheat","1989","Crop Yield per Hectare","Tonnes","8.1"
"Winter wheat","1989","Crop Yield","000 Tonnes","350"
"Winter wheat","1990","Area under Crops","000 Hectares","56.5"
"Winter wheat","1990","Crop Yield per Hectare","Tonnes","9"
"Winter wheat","1990","Crop Yield","000 Tonnes","506"
"Winter wheat","1991","Area under Crops","000 Hectares","66.9"
"Winter wheat","1991","Crop Yield per Hectare","Tonnes","8.2"
"Winter wheat","1991","Crop Yield","000 Tonnes","548"
"Winter wheat","1992","Area under Crops","000 Hectares","73.3"
"Winter wheat","1992","Crop Yield per Hectare","Tonnes","8"
"Winter wheat","1992","Crop Yield","000 Tonnes","587"
"Winter wheat","1993","Area under Crops","000 Hectares","57.2"
"Winter wheat","1993","Crop Yield per Hectare","Tonnes","6.7"
"Winter wheat","1993","Crop Yield","000 Tonnes","383"
"Winter wheat","1994","Area under Crops","000 Hectares","56.2"
"Winter wheat","1994","Crop Yield per Hectare","Tonnes","8.1"
"Winter wheat","1994","Crop Yield","000 Tonnes","458"
"Winter wheat","1995","Area under Crops","000 Hectares","51.8"
"Winter wheat","1995","Crop Yield per Hectare","Tonnes","8.7"
"Winter wheat","1995","Crop Yield","000 Tonnes","451"
"Winter wheat","1996","Area under Crops","000 Hectares","67.2"
"Winter wheat","1996","Crop Yield per Hectare","Tonnes","9.4"
"Winter wheat","1996","Crop Yield","000 Tonnes","632.5"
"Winter wheat","1997","Area under Crops","000 Hectares","70.2"
"Winter wheat","1997","Crop Yield per Hectare","Tonnes","8"
"Winter wheat","1997","Crop Yield","000 Tonnes","563.3"
"Winter wheat","1998","Area under Crops","000 Hectares","65.5"
"Winter wheat","1998","Crop Yield per Hectare","Tonnes","8.1"
"Winter wheat","1998","Crop Yield","000 Tonnes","531.9"
"Winter wheat","1999","Area under Crops","000 Hectares","40.6"
"Winter wheat","1999","Crop Yield per Hectare","Tonnes","9.4"
"Winter wheat","1999","Crop Yield","000 Tonnes","382.1"
"Winter wheat","2000","Area under Crops","000 Hectares","58.8"
"Winter wheat","2000","Crop Yield per Hectare","Tonnes","9.9"
"Winter wheat","2000","Crop Yield","000 Tonnes","582.3"
"Winter wheat","2001","Area under Crops","000 Hectares","49.9"
"Winter wheat","2001","Crop Yield per Hectare","Tonnes","9.8"
"Winter wheat","2001","Crop Yield","000 Tonnes","489.2"
"Winter wheat","2002","Area under Crops","000 Hectares","80"
"Winter wheat","2002","Crop Yield per Hectare","Tonnes","8.8"
"Winter wheat","2002","Crop Yield","000 Tonnes","703.6"
"Winter wheat","2003","Area under Crops","000 Hectares","60.6"
"Winter wheat","2003","Crop Yield per Hectare","Tonnes","8.7"
"Winter wheat","2003","Crop Yield","000 Tonnes","526.9"
"Winter wheat","2004","Area under Crops","000 Hectares","71.5"
"Winter wheat","2004","Crop Yield per Hectare","Tonnes","10.5"
"Winter wheat","2004","Crop Yield","000 Tonnes","750.6"
"Winter wheat","2005","Area under Crops","000 Hectares","65"
"Winter wheat","2005","Crop Yield per Hectare","Tonnes","8.8"
"Winter wheat","2005","Crop Yield","000 Tonnes","572"
"Winter wheat","2006","Area under Crops","000 Hectares","59.2"
"Winter wheat","2006","Crop Yield per Hectare","Tonnes","9.8"
"Winter wheat","2006","Crop Yield","000 Tonnes","580"
"Winter wheat","2007","Area under Crops","000 Hectares","64.7"
"Winter wheat","2007","Crop Yield per Hectare","Tonnes","8.7"
"Winter wheat","2007","Crop Yield","000 Tonnes","562.5"
"Spring wheat","1985","Area under Crops","000 Hectares","17.4"
"Spring wheat","1985","Crop Yield per Hectare","Tonnes","5.8"
"Spring wheat","1985","Crop Yield","000 Tonnes","100"
"Spring wheat","1986","Area under Crops","000 Hectares","17.6"
"Spring wheat","1986","Crop Yield per Hectare","Tonnes","5.4"
"Spring wheat","1986","Crop Yield","000 Tonnes","95"
"Spring wheat","1987","Area under Crops","000 Hectares","17.8"
"Spring wheat","1987","Crop Yield per Hectare","Tonnes","6.2"
"Spring wheat","1987","Crop Yield","000 Tonnes","110"
"Spring wheat","1988","Area under Crops","000 Hectares","21.4"
"Spring wheat","1988","Crop Yield per Hectare","Tonnes","7"
"Spring wheat","1988","Crop Yield","000 Tonnes","150"
"Spring wheat","1989","Area under Crops","000 Hectares","17.7"
"Spring wheat","1989","Crop Yield per Hectare","Tonnes","6.2"
"Spring wheat","1989","Crop Yield","000 Tonnes","109"
"Spring wheat","1990","Area under Crops","000 Hectares","13.6"
"Spring wheat","1990","Crop Yield per Hectare","Tonnes","6.7"
"Spring wheat","1990","Crop Yield","000 Tonnes","92"
"Spring wheat","1991","Area under Crops","000 Hectares","18.8"
"Spring wheat","1991","Crop Yield per Hectare","Tonnes","6.7"
"Spring wheat","1991","Crop Yield","000 Tonnes","125"
"Spring wheat","1992","Area under Crops","000 Hectares","17.3"
"Spring wheat","1992","Crop Yield per Hectare","Tonnes","7.4"
"Spring wheat","1992","Crop Yield","000 Tonnes","127"
"Spring wheat","1993","Area under Crops","000 Hectares","22"
"Spring wheat","1993","Crop Yield per Hectare","Tonnes","7.1"
"Spring wheat","1993","Crop Yield","000 Tonnes","155"
"Spring wheat","1994","Area under Crops","000 Hectares","17.9"
"Spring wheat","1994","Crop Yield per Hectare","Tonnes","6.4"
"Spring wheat","1994","Crop Yield","000 Tonnes","114"
"Spring wheat","1995","Area under Crops","000 Hectares","18.9"
"Spring wheat","1995","Crop Yield per Hectare","Tonnes","7"
"Spring wheat","1995","Crop Yield","000 Tonnes","132"
"Spring wheat","1996","Area under Crops","000 Hectares","18.5"
"Spring wheat","1996","Crop Yield per Hectare","Tonnes","7.5"
"Spring wheat","1996","Crop Yield","000 Tonnes","138.7"
"Spring wheat","1997","Area under Crops","000 Hectares","23.7"
"Spring wheat","1997","Crop Yield per Hectare","Tonnes","6.8"
"Spring wheat","1997","Crop Yield","000 Tonnes","161.2"
"Spring wheat","1998","Area under Crops","000 Hectares","18.4"
"Spring wheat","1998","Crop Yield per Hectare","Tonnes","7.7"
"Spring wheat","1998","Crop Yield","000 Tonnes","141.1"
"Spring wheat","1999","Area under Crops","000 Hectares","27.4"
"Spring wheat","1999","Crop Yield per Hectare","Tonnes","7.8"
"Spring wheat","1999","Crop Yield","000 Tonnes","215.3"
"Spring wheat","2000","Area under Crops","000 Hectares","19.1"
"Spring wheat","2000","Crop Yield per Hectare","Tonnes","8.1"
"Spring wheat","2000","Crop Yield","000 Tonnes","155.1"
"Spring wheat","2001","Area under Crops","000 Hectares","35"
"Spring wheat","2001","Crop Yield per Hectare","Tonnes","8"
"Spring wheat","2001","Crop Yield","000 Tonnes","280"
"Spring wheat","2002","Area under Crops","000 Hectares","22.7"
"Spring wheat","2002","Crop Yield per Hectare","Tonnes","7.2"
"Spring wheat","2002","Crop Yield","000 Tonnes","163.6"
"Spring wheat","2003","Area under Crops","000 Hectares","35.2"
"Spring wheat","2003","Crop Yield per Hectare","Tonnes","7.6"
"Spring wheat","2003","Crop Yield","000 Tonnes","267.2"
"Spring wheat","2004","Area under Crops","000 Hectares","31.2"
"Spring wheat","2004","Crop Yield per Hectare","Tonnes","8.6"
"Spring wheat","2004","Crop Yield","000 Tonnes","268.6"
"Spring wheat","2005","Area under Crops","000 Hectares","30.2"
"Spring wheat","2005","Crop Yield per Hectare","Tonnes","7.6"
"Spring wheat","2005","Crop Yield","000 Tonnes","229.7"
"Spring wheat","2006","Area under Crops","000 Hectares","28.3"
"Spring wheat","2006","Crop Yield per Hectare","Tonnes","7.8"
"Spring wheat","2006","Crop Yield","000 Tonnes","221"
"Spring wheat","2007","Area under Crops","000 Hectares","19.6"
"Spring wheat","2007","Crop Yield per Hectare","Tonnes","7.7"
"Spring wheat","2007","Crop Yield","000 Tonnes","150.9"
