,Year,Member State,(SE136) Total crops output (€/ha),(SE140) Cereals (€/farm),(SE285) Seeds and plants (€/farm),(SE290) Seeds and plants home-grown (€/farm),(SE295) Fertilisers (€/farm),(SE296) Fertiliser N (q/farm),(SE297) Fertiliser P2O5 (q/farm),(SE305) Other crop specific costs (€/farm),(SE340) Machinery & building current costs (€/farm),(SE345) Energy (€/farm),(SE455) Machinery and equipment (€/farm),(SE610) Total subsidies on crops (€/farm),(SE447) Agricultural land (€/farm),(SE710) Processing of crops (€/farm),(SE300) Crop protection (€/farm),(SE035) Cereals (ha/farm),(SE110) Yield of wheat (q/ha)
0,2004,(IE) Ireland,1136.41,34239,4542,709,8949,-,-,2178,5060,3050,45625,16581,859872,0,8268,39.66,103.5
1,2004,(FR) France,1023.09,53065,10037,347,14907,-,-,690,9570,6180,85810,38794,50354,0,15778,67.1,80.22
2,2004,(UK) United Kingdom,1001.57,72925,13218,1664,18692,-,-,9286,21066,11992,123305,44830,900888,0,23060,91.41,82.15
3,2005,(IE) Ireland,1159.81,24370,3974,445,8470,-,-,3162,5028,2636,41643,0,1495856,0,6710,31.81,84.10000000000001
4,2005,(FR) France,994.09,48150,9535,319,15772,-,-,664,9247,7365,85557,37014,50195,0,15448,65.14,73.86
5,2005,(UK) United Kingdom,1025.35,70394,13086,1416,19289,-,-,9214,19712,14295,125063,432,942446,0,22737,87.88,83.67
6,2006,(IE) Ireland,1319.64,41316,5518,639,10134,-,-,1366,5934,3819,49802,99,1646127,0,7682,42.49,92.74
7,2006,(FR) France,1093.92,57870,9401,356,16282,-,-,654,9319,8142,85964,9177,48861,0,15392,66.16,71.14
8,2006,(UK) United Kingdom,1221.2,91102,13135,1435,20774,-,-,10514,21759,16060,134123,547,1092750,0,22735,88.13,86.02
9,2007,(IE) Ireland,1855.38,54637,5557,743,9691,-,-,2997,5743,3539,54280,28,1692876,0,8252,37.1,83.86
10,2007,(FR) France,1381.84,88105,10066,391,17710,-,-,782,10862,8254,95137,9228,48312,0,17019,68.43,67.76
11,2007,(UK) United Kingdom,1432.18,137847,13138,1265,22361,-,-,9658,24128,16855,139159,356,1328144,0,24884,94.46000000000001,76.85000000000001
12,2008,(IE) Ireland,1347.54,41225,6166,1084,14100,-,-,2378,6549,4516,57865,76,1393037,0,9162,41.91,100.09
13,2008,(FR) France,1353.05,82835,11537,449,22976,-,-,724,11306,10466,92946,9021,53702,0,18827,71.25,75.28
14,2008,(UK) United Kingdom,1256.04,112988,13291,1574,24249,-,-,7138,19855,19847,127665,222,1280455,0,23735,97.43,88.52
15,2009,(IE) Ireland,845.6700000000001,29953,4618,547,12285,-,-,695,4707,3719,55073,31,1202484,0,7515,41.34,85.8
16,2009,(FR) France,1130.15,64499,12086,370,30409,-,-,503,10793,8062,91855,9104,51720,0,19137,70.89,79.46000000000001
17,2009,(UK) United Kingdom,1035.48,88318,13445,1156,33336,-,-,8177,19366,15370,134607,369,1362352,0,22556,97.55,85.18
18,2010,(IE) Ireland,1355.6,56446,5342,947,12228,-,-,1276,5855,4830,64266,61,980356,0,8978,43.54,89.53
19,2010,(FR) France,1413.8,90003,11548,410,20322,-,-,656,11243,8818,94513,997,52463,0,18486,69.8,75.13
20,2010,(UK) United Kingdom,1382.49,119372,13142,1247,26577,-,-,8338,21579,17492,148035,304,1500723,0,23442,91.42,82.31
21,2011,(IE) Ireland,1395.63,78078,5865,466,19597,-,-,1340,6798,7533,77587,28,1066455,0,10818,53.83,96.28
22,2011,(FR) France,1520.41,96570,12044,564,24359,-,-,697,12237,10526,98823,1174,53377,0,18511,70.28,70.11
23,2011,(UK) United Kingdom,1418.48,127117,13733,1351,30335,-,-,9178,11682,20600,157517,182,1616338,0,23795,92.75,80.95
24,2012,(IE) Ireland,1272.17,61486,5114,245,18025,-,-,619,7245,6617,66541,20,1038065,0,11564,46.84,71.74
25,2012,(FR) France,1737.11,110181,12840,540,27133,-,-,668,12444,11273,103894,1513,51902,0,18600,66.93,75.68
26,2012,(UK) United Kingdom,1629.55,128611,16952,1484,37244,-,-,9372,11346,21516,171543,10,1908272,0,29776,87.85000000000001,69.07000000000001
27,2013,(IE) Ireland,1276.68,61701,6288,220,19776,-,-,706,7686,7689,77401,0,1147589,0,10622,47.27,86.58
28,2013,(FR) France,1477.8,87479,13727,520,28442,-,-,917,12440,11414,106951,1384,53929,0,19422,67.12,76.25
29,2013,(UK) United Kingdom,1376.37,122759,18020,1506,34513,-,-,9248,10735,21740,184952,3,2113772,0,26710,93.54,77.84
30,2014,(IE) Ireland,1266.95,62042,5198,240,17449,90.44,13.75,580,7630,6788,70466,0,1172016,0,10952,46.29,100.36
31,2014,(FR) France,1401.81,85613,13925,520,26080,-,-,864,16238,11953,97573,490,48068,477,20826,69.14,77.25
32,2014,(UK) United Kingdom,1438.5,125600,18158,1427,35127,-,-,9186,26165,22953,191814,0,2428801,147,32935,93.38,88.39
33,2015,(IE) Ireland,1315.29,69257,5263,26,18733,98.37,14.24,511,7535,5381,78545,480,1227298,0,11964,47.45,116.11
34,2015,(FR) France,1431.34,86019,13459,550,25175,-,-,684,16079,10303,94179,1137,49122,560,20361,68.65,81.66
35,2015,(UK) United Kingdom,1371.2,114780,17594,1318,32991,-,-,9742,28446,18476,191436,0,2486598,25,32355,92.86,95.34
36,2016,(IE) Ireland,1197.79,79541,8065,28,23869,134.79,19.35,772,11362,6362,104250,526,1388291,0,15947,63.16,96.59
37,2016,(FR) France,1211.2,58802,13881,608,24956,-,-,788,15481,9287,88467,1021,50780,560,21485,67.99,54.59
38,2016,(UK) United Kingdom,1371.55,107969,18130,1203,28302,190.91,38.7,11113,24176,16681,185967,0,2366135,53,30682,93.04,83.72
39,2017,(IE) Ireland,1384.78,76150,6483,0,17440,116.76,16.24,945,9804,5411,82801,524,1334796,0,14184,54.78,102.43
40,2017,(FR) France,1320.91,74016,13182,563,19276,155.16,33.27,643,15235,9558,77522,953,50900,695,19392,67.67,74.21000000000001
41,2017,(UK) United Kingdom,1429.13,113307,18090,1299,25516,226.08,53.24,10776,23103,16922,173796,0,2192451,61,28386,92.85000000000001,86.16
42,2018,(IE) Ireland,1620.74,109755,7648,12,25044,161.54,26.04,967,11534,8397,112068,465,1484745,0,16711,72.60000000000001,87.67
43,2018,(FR) France,1451.06,85619,14671,697,22052,160.07,36.21,698,17174,11949,83715,1131,53161,2319,21137,68.69,72.61
44,2018,(UK) United Kingdom,1647.55,129744,18421,1424,26827,218.45,53.61,11700,24252,18697,182962,0,2393545,66,28352,90.77,82.69
45,2019,(IE) Ireland,1617.35,114585,7768,24,25208,153.4,21.5,998,13346,8103,95785,365,1442699,0,15735,75.09,108.08
46,2019,(FR) France,1486.13,89382,15149,558,23793,157.73,36.33,811,17682,11795,84052,1452,52816,1795,20465,72.17,80.34
47,2019,(UK) United Kingdom,1519.51,135395,18602,1661,31307,231.95,51.7,11610,24703,18524,181444,0,2462846,205,30789,97.7,94.10000000000001
48,2020,(IE) Ireland,1417.48,107660,9245,70,25103,150.78,23.68,254,14440,7530,123715,527,1230862,0,17037,76.89,93.96000000000001
49,2020,(FR) France,1380.56,83312,15324,598,23892,157.39,36.3,964,18150,10747,85895,1580,52142,1348,19050,70.4,72.28
50,2020,(UK) United Kingdom,1403.96,125380,19292,1932,29260,228.01,57.12,10809,28191,17237,203767,0,2704261,141,25540,99.02,75.02
51,2021,(IE) Ireland,2072.49,137676,9904,146,24042,143.49,24.95,1509,15564,9593,130593,1072,1310117,0,17069,70.4,108.88
52,2021,(FR) France,1775.04,115442,15924,644,23881,153.26,34.93,937,19384,11984,91646,1507,50552,895,19477,72.94,72.45
53,2022,(IE) Ireland,2602.75,143304,9313,269,35725,91.68,14.73,1806,12849,9877,95827,1602,1326745,0,14118,51.24,97.9
54,2022,(FR) France,2120.84,133992,16832,744,35402,145.48,28.98,1525,21670,16521,103183,1777,50198,1089,20644,68.71000000000001,72.93
